"","year","total_supervised","...3","...4","...5","...6","total_incarcerated","local_jail","...9","state_prison","federal_prison"
"1",1980,1842100,"1,338,500","1,118,100","220,400",NA,503600,NA,"329,800",NA,NA
"2",1981,2002600,"1,445,800","1,222,000","223,800",NA,556800,NA,"369,900",NA,NA
"3",1982,2191700,"1,579,200","1,335,400","243,900",NA,612500,NA,"413,800",NA,NA
"4",1983,2401400,"1,754,000","1,502,200","251,700",NA,647400,NA,"436,900",NA,NA
"5",1984,2662500,"1,979,700","1,711,200","268,500",NA,682800,NA,"462,000",NA,NA
"6",1985,2891800,"2,147,600","1,870,100","277,400",NA,744200,NA,"502,500",NA,NA
"7",1986,3236100,"2,421,200","2,094,400","326,800",NA,815000,NA,"545,000",NA,NA
"8",1987,3462900,"2,604,200","2,242,100","362,200",NA,858700,NA,"585,100",NA,NA
"9",1988,3714800,"2,764,500","2,356,500","408,000",NA,950400,NA,"627,600",NA,NA
"10",1989,4056200,"2,977,300","2,520,500","456,800",NA,1078900,NA,"712,400",NA,NA
"11",1990,4350300,"3,201,600","2,670,200","531,400",NA,1148700,NA,"773,900",NA,NA
"12",1991,4540100,"3,321,000","2,738,200","582,800",NA,1219000,NA,"825,600",NA,NA
"13",1992,4735600,"3,440,500","2,806,200","634,300",NA,1295200,NA,"882,500",NA,NA
"14",1993,4884100,"3,514,900","2,843,400","671,500",NA,1369200,NA,"969,300",NA,NA
"15",1994,5131000,"3,654,300","2,964,200","690,200",NA,1476600,NA,"1,054,700",NA,NA
"16",1995,5382100,"3,796,500","3,096,300","700,200",NA,1585600,NA,"1,125,900",NA,NA
"17",1996,5531200,"3,884,900","3,180,200","704,700",NA,1646300,NA,"1,181,900",NA,NA
"18",1997,5701100,"3,957,400","3,266,700","690,800",NA,1743600,NA,"1,240,700",NA,NA
"19",1998,5888100,"4,122,400","3,417,500","705,000",NA,1815200,NA,"1,307,200",NA,NA
"20",1999,6349000,"4,485,300","3,772,600","712,700",NA,1910400,NA,"1,363,700",NA,NA
"21",2000,6467800,"4,564,900","3,839,400","725,500",NA,1945400,NA,"1,394,200",NA,NA
"22",2001,6584900,"4,665,700","3,934,500","731,100",NA,1962800,NA,"1,404,000",NA,NA
"23",2002,6730900,"4,748,100","3,995,000","753,100",NA,2033100,NA,"1,440,100",NA,NA
"24",2003,6886800,"4,847,300","4,073,800","773,500",NA,2086500,NA,"1,468,600",NA,NA
"25",2004,6997000,"4,916,300","4,140,400","775,900",NA,2136600,NA,"1,497,100",NA,NA
"26",2005,7055600,"4,946,600","4,162,300","784,400",NA,2200400,NA,"1,525,900",NA,NA
"27",2006,7199700,"5,035,000","4,236,800","798,200",NA,2256600,NA,"1,568,700",NA,NA
"28",2007,7339600,"5,119,000","4,293,000","826,100",NA,2296400,NA,"1,596,800",NA,NA
"29",2008,7312600,"5,093,400","4,271,200","826,100",NA,2310300,NA,"1,608,300",NA,NA
"30",2009,7239100,"5,019,400","4,199,800","824,600",NA,2297700,NA,"1,615,500",NA,NA
"31",2010,7089000,"4,888,500","4,055,900","840,800",NA,2279100,NA,"1,613,800",NA,NA
"32",2011,6994500,"4,818,300","3,973,800","855,500",NA,2252500,NA,"1,599,000",NA,NA
"33",2012,6949800,"4,790,700","3,944,900","858,400",NA,2231300,NA,"1,570,400",NA,NA
"34",2013,6899700,"4,749,800","3,912,900","849,500",NA,2222500,NA,"1,577,000",NA,NA
"35",2014,6856900,"4,713,200","3,868,400","857,700",NA,2225100,NA,"1,562,300",NA,NA
"36",2015,6740300,"4,650,900","3,789,800","870,500",NA,2172800,NA,"1,526,600",NA,NA
"37",2016,6616200,"4,537,100","3,673,100","874,800",NA,2165100,NA,"1,508,100",NA,NA
"38",2017,6549700,"4,508,900","3,647,200","875,000",NA,2153600,NA,"1,489,200",NA,NA
"39",2018,6409200,"4,399,000","3,540,000","878,000",NA,2122300,NA,"1,464,400",NA,NA
