"","Incarcerated population by race/ethnicity in Census 2010- total","...2","ID","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","rate_per_100","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"1","0400000US01","01","alabama","41,177","18,087","22,377","80","57","3","283","290","1,423","17,154",NA,"4,779,736","3,275,394","1,251,311","28,218","53,595","3,057","96,910","71,251","185,602","3,204,402",NA,861,"552","1,788","284","106","98","292","407","767","535"
"2","0400000US04","04","arizona","67,767","36,160","8,246","6,723","1,136","1,029","12,876","1,597","27,534","23,407",NA,"6,392,017","4,667,121","259,008","296,529","176,695","12,648","761,716","218,300","1,895,149","3,695,647",NA,1060,"775","3,184","2,267","643","8,136","1,690","732","1,453","633"
"3","0400000US05","05","arkansas","25,844","13,844","10,943","167","115","10","553","212","1,703","12,886",NA,"2,915,918","2,245,229","449,895","22,248","36,102","5,863","99,571","57,010","186,050","2,173,469",NA,886,"617","2,432","751","319","171","555","372","915","593"
"4","0400000US06","06","california","256,807","130,010","69,806","3,615","4,590","892","44,467","3,427","106,039","67,819",NA,"37,253,956","21,453,934","2,299,072","362,801","4,861,007","144,386","6,317,372","1,815,384","14,013,719","14,956,253",NA,689,"606","3,036","996","94","618","704","189","757","453"
"5","0400000US08","08","colorado","40,568","28,673","7,365","1,646","383","49","1,830","622","13,296","17,936",NA,"5,029,196","4,089,202","201,737","56,010","139,028","6,623","364,140","172,456","1,038,687","3,520,793",NA,807,"701","3,651","2,939","275","740","503","361","1,280","509"
"6","0400000US09","09","connecticut","20,059","7,108","8,187","86","125","49","4,249","255","5,726","6,141",NA,"3,574,097","2,772,410","362,296","11,256","135,565","1,428","198,466","92,676","479,087","2,546,262",NA,561,"256","2,260","764","92","3,431","2,141","275","1,195","241"
"7","0400000US10","10","delaware","6,457","2,529","3,840","6","8","4","46","24","183","2,431",NA,"897,934","618,617","191,814","4,181","28,549","400","30,519","23,854","73,221","586,752",NA,719,"409","2,002","144","28","1,000","151","101","250","414"
"8","0400000US11","11","district of columbia","3,598","204","3,146","21","23","1","99","104","288","105",NA,"601,723","231,471","305,125","2,079","21,056","302","24,374","17,316","54,749","209,464",NA,598,"88","1,031","1,010","109","331","406","601","526","50"
"9","0400000US12","12","florida","167,453","86,177","76,640","422","449","36","2,408","1,321","22,640","68,141",NA,"18,801,310","14,109,162","2,999,862","71,458","454,821","12,286","681,144","472,577","4,223,806","10,884,722",NA,891,"611","2,555","591","99","293","354","280","536","626"
"10","0400000US13","13","georgia","104,012","39,434","60,078","187","379","41","3,144","749","9,382","34,631",NA,"9,687,653","5,787,440","2,950,435","32,151","314,467","6,799","388,872","207,489","853,689","5,413,920",NA,1074,"681","2,036","582","121","603","808","361","1,099","640"
