yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
197001001,1001,AL,Autauga,24661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
197001003,1003,AL,Baldwin,59531,NA,NA,NA,NA,NA,NA,NA,NA,199.75,11.07,365.33,NA,NA,NA,NA,NA,199.75,11.07,365.33,0,0,0,0,NA
197001005,1005,AL,Barbour,22644,NA,NA,NA,NA,NA,NA,NA,NA,83.27,0,181.55,NA,NA,NA,NA,NA,83.27,0,181.55,0,0,0,0,NA
197001007,1007,AL,Bibb,13824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
197001009,1009,AL,Blount,27042,NA,NA,NA,NA,NA,NA,NA,NA,150.13,11.71,234.16,NA,NA,NA,NA,NA,150.13,11.71,234.16,0,0,0,0,NA
197001011,1011,AL,Bullock,11736,NA,NA,NA,NA,NA,NA,NA,NA,157.93,0,341.76,NA,NA,NA,NA,NA,157.93,0,341.76,0,0,0,0,NA
197001013,1013,AL,Butler,21966,NA,NA,NA,NA,NA,NA,NA,NA,94.98,0,203.49,NA,NA,NA,NA,NA,94.98,0,203.49,0,0,0,0,NA
197001015,1015,AL,Calhoun,103193,NA,NA,NA,NA,NA,NA,NA,NA,125.64,0,242.77,NA,NA,NA,NA,NA,125.64,0,242.77,0,0,0,0,NA
197001017,1017,AL,Chambers,36337,NA,NA,NA,NA,NA,NA,NA,NA,145.85,0,310.65,NA,NA,NA,NA,NA,145.85,0,310.65,0,0,0,0,NA
197001019,1019,AL,Cherokee,15782,NA,NA,NA,NA,NA,NA,NA,NA,50.93,0,103.97,NA,NA,NA,NA,NA,50.93,0,103.97,0,0,0,0,NA
197001021,1021,AL,Chilton,25259,NA,NA,NA,NA,NA,NA,NA,NA,112.34,25.77,203.5,NA,NA,NA,NA,NA,112.34,25.77,203.5,0,0,0,0,NA
197001023,1023,AL,Choctaw,16559,NA,NA,NA,NA,NA,NA,NA,NA,159.78,0,332.3,NA,NA,NA,NA,NA,159.78,0,332.3,0,0,0,0,NA
197001025,1025,AL,Clarke,26547,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
