Incarcerated population by race/ethnicity in Census 2010- total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Correctional data,,,,,,,,,,~,"Comparable data for the entire country, all ages",,,,,,,,,,~,"Incarceration rates per 100,000",,,,,,,,,
GEOID,GEOID2,Geography,Total : In Correctional Facilities for Adults,White alone : in Correctional Facilities for Adults,Black or African American alone : in Correctional Facilities for Adults,American Indian and Alaska Native alone : in Correctional Facilities for Adults,Asian alone : in Correctional Facilities for Adults,Native Hawaiian and other Pacific Islander alone : in Correctional Facilities for Adults,Some other race alone : in Correctional Facilities for Adults,Two or more races : in Correctional Facilities for Adults,Hispanic or Latino : in Correctional Facilities for Adults,"White alone, not Hispanic or Latino : in Correctional Facilities for Adults",,Total Population,Total Population: White alone,Total Population: Black or African American alone,Total Population: American Indian and Alaska Native alone,Total Population: Asian alone,Total Population: Native Hawaiian and other Pacific Islander alone,Total Population: Some other race alone,Total Population: Two or more races,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino",,Incarceration rate,Incarceration rate: White alone,Incarceration rate: Black or African American alone,Incarceration rate: American Indian and Alaska Native alone,Incarceration rate: Asian alone,Incarceration rate: Native Hawaiian and other Pacific Islander alone,Incarceration rate: Some other race alone,Incarceration rate: Two or more races,Incarceration rate: Hispanic or Latino,"Incarceration rate: White alone, not Hispanic or Latino"
0100000US,,United States,"2,263,602","1,139,749","897,875","37,854","16,928","5,494","142,908","22,794","419,509","885,956",,"308,745,538","223,553,265","38,929,319","2,932,248","14,674,252","540,013","19,107,368","9,009,073","50,477,594","196,817,552",,733,510,"2,306","1,291",115,"1,017",748,253,831,450
0400000US01,01,Alabama,"41,177","18,087","22,377",80,57,3,283,290,"1,423","17,154",,"4,779,736","3,275,394","1,251,311","28,218","53,595","3,057","96,910","71,251","185,602","3,204,402",,861,552,"1,788",284,106,98,292,407,767,535
0400000US02,02,Alaska,"4,206","1,812",301,"1,579",44,49,31,390,255,"1,684",,"710,231","473,576","23,263","104,871","38,135","7,409","11,102","51,875","39,249","455,320",,592,383,"1,294","1,506",115,661,279,752,650,370
0400000US04,04,Arizona,"67,767","36,160","8,246","6,723","1,136","1,029","12,876","1,597","27,534","23,407",,"6,392,017","4,667,121","259,008","296,529","176,695","12,648","761,716","218,300","1,895,149","3,695,647",,"1,060",775,"3,184","2,267",643,"8,136","1,690",732,"1,453",633
0400000US05,05,Arkansas,"25,844","13,844","10,943",167,115,10,553,212,"1,703","12,886",,"2,915,918","2,245,229","449,895","22,248","36,102","5,863","99,571","57,010","186,050","2,173,469",,886,617,"2,432",751,319,171,555,372,915,593
0400000US06,06,California,"256,807","130,010","69,806","3,615","4,590",892,"44,467","3,427","106,039","67,819",,"37,253,956","21,453,934","2,299,072","362,801","4,861,007","144,386","6,317,372","1,815,384","14,013,719","14,956,253",,689,606,"3,036",996,94,618,704,189,757,453
0400000US08,08,Colorado,"40,568","28,673","7,365","1,646",383,49,"1,830",622,"13,296","17,936",,"5,029,196","4,089,202","201,737","56,010","139,028","6,623","364,140","172,456","1,038,687","3,520,793",,807,701,"3,651","2,939",275,740,503,361,"1,280",509
0400000US09,09,Connecticut,"20,059","7,108","8,187",86,125,49,"4,249",255,"5,726","6,141",,"3,574,097","2,772,410","362,296","11,256","135,565","1,428","198,466","92,676","479,087","2,546,262",,561,256,"2,260",764,92,"3,431","2,141",275,"1,195",241
0400000US10,10,Delaware,"6,457","2,529","3,840",6,8,4,46,24,183,"2,431",,"897,934","618,617","191,814","4,181","28,549",400,"30,519","23,854","73,221","586,752",,719,409,"2,002",144,28,"1,000",151,101,250,414
